text,source,query
"Conflict of interest statement: Declarations. Conflict of interest/Competing 
Interests: The authors have no relevant financial or non-financial interests to 
disclose. Ethics approval: All study procedures were in accordance with the 
ethical standards of the institutional and national research committee and with 
the 1964 Helsinki Declaration and all of its later amendments. The study was 
approved by the University of Minnesota Institutional Review Board as well as 
the Minneapolis Veterans Affairs Health Care System Institutional Review Board. 
Consent to participate: Informed consent was obtained from all individual 
participants included in the study. Consent to publish: Informed consent was 
obtained from all individual participants, including consent for the possibility 
that study results would be published. Participants were informed that no 
identifying information would be included in any publication.",PubMed,cognitive performance stress military
"Senkyunolide I attenuates radiation-induced cognitive dysfunction by restoring 
PINK1-Parkin-mediated mitophagy and redox homeostasis.",PubMed,cognitive performance stress military
"Yan T(1), Guo S(2), Zhang S(1), Wang Q(1), Zhang Z(3), Zhao W(4), Li X(1), Lai 
N(1), Jiang W(1), Xu Y(5), Yang L(6).",PubMed,cognitive performance stress military
"Author information:
(1)Department of Pharmacy, Tangdu Hospital, the Fourth Military Medical 
University, Xi'an 710038, Shaanxi, PR China.
(2)Department of Pharmacy, Tangdu Hospital, the Fourth Military Medical 
University, Xi'an 710038, Shaanxi, PR China; College of Life Science, Northwest 
University, Xi'an 710069, Shaanxi, PR China.
(3)Department of Cardiovascular Medicine, Xinjiang Military Region General 
Hospital, Urumqi 830099, Xinjiang Uygur Autonomous Region, PR China.
(4)Radiotherapy Department, Tangdu Hospital, the Fourth Military Medical 
University, Xi'an 710038, Shaanxi, PR China.
(5)Department of Pharmacy, Tangdu Hospital, the Fourth Military Medical 
University, Xi'an 710038, Shaanxi, PR China. Electronic address: 
xuyuan2324@163.com.
(6)Department of Pharmacy, Tangdu Hospital, the Fourth Military Medical 
University, Xi'an 710038, Shaanxi, PR China. Electronic address: 
yanglefmmu@163.com.",PubMed,cognitive performance stress military
"BACKGROUND: Radiation-induced cognitive dysfunction (RICD) is a prevalent and 
long-term complication of cranial radiotherapy, characterized by 
hippocampal-dependent learning and memory impairment that severely compromises 
quality of life in cancer survivors. Accumulating evidence implicates sustained 
mitochondrial damage and oxidative stress as central drivers of RICD 
pathogenesis; however, clinically effective disease-modifying interventions 
remain lacking.
PURPOSE: This study investigated the neuroprotective efficacy and molecular 
mechanisms of Senkyunolide I (SI), a bioactive phthalide derived from Ligusticum 
chuanxiong, in experimental models of RICD, with particular emphasis on 
mitochondrial quality control and antioxidant signaling.
METHODS: RICD was modeled using fractionated head-neck irradiation (7 × 3 Gy) in 
mice and X-ray-irradiated PC12 cells. Behavioral and cognitive performance was 
assessed using open field, novel object recognition, Y-maze, and Morris water 
maze paradigms. Longitudinal monitoring of body weight and intake behavior was 
conducted to characterize irradiation-associated physiological alterations. The 
systemic pharmacokinetic profile and hippocampal distribution of SI following 
oral administration were quantified by LC-MS/MS. Mechanistic analyses included 
biochemical assays of oxidative and inflammatory markers, immunofluorescence 
evaluation of glial activation, assessment of mitochondrial membrane potential 
and mitochondrial ROS, ultrastructural examination by transmission electron 
microscopy, and Western blot analysis of proteins involved in mitophagy, 
antioxidant defense, and apoptosis.
RESULTS: Oral SI administration markedly improved radiation-induced cognitive 
and behavioral impairments and exhibited rapid systemic absorption with enhanced 
hippocampal accumulation following irradiation. SI significantly attenuated 
oxidative stress and neuroinflammatory responses in hippocampal tissue, 
accompanied by preservation of mitochondrial structure and function. 
Mechanistically, SI restored PINK1-Parkin-mediated mitophagic flux and activated 
the KEAP1-Nrf2 antioxidant pathway. Pharmacological inhibition of autophagy and 
genetic silencing of PINK1 abolished SI-induced mitochondrial protection and 
antioxidant activation, confirming mitophagy as an essential upstream mechanism 
underlying SI-mediated neuroprotection.
CONCLUSION: Senkyunolide I effectively mitigates radiation-induced cognitive 
dysfunction by coordinating mitochondrial quality control and endogenous 
antioxidant defenses. These findings highlight the therapeutic potential of 
orally administered SI and support targeting mitochondrial homeostasis as a 
viable strategy for the treatment of RICD.",PubMed,cognitive performance stress military
"Conflict of interest statement: Declaration of competing interest The authors 
declare no competing financial or personal interests that could have influenced 
the research reported in this manuscript.",PubMed,cognitive performance stress military
"Mapping smart technologies and nutritional strategies for monitoring cognitive 
resilience in military personnel under extreme operational conditions: a scoping 
review.",PubMed,cognitive performance stress military
"Author information:
(1)Faculty of Food Technology, Technical University of Moldova, Chisinau, 
Moldova.",PubMed,cognitive performance stress military
"In extreme operational environments, cognitive performance is critical for 
mission safety and decision accuracy; however, it is vulnerable to sleep 
deprivation, energy deficits, and multiple stressors. This scoping review aimed 
to map and synthesize evidence on nutritional strategies and smart technologies 
designed to monitor and support cognitive resilience in military personnel. 
Following the Joanna Briggs Institute (JBI) methodology and the Preferred 
Reporting Items for Systematic Reviews and Meta-Analyses extension for Scoping 
Reviews (PRISMA-ScR) guideline, studies published between 2010 and 2024 were 
identified through Web of Science, PubMed, and eLibrary.ru databases. Eligible 
records included interventions addressing nutrition, physiological monitoring, 
and cognitive outcomes in extreme settings. Nearly 79 studies met the inclusion 
criteria. A majority of the studies focused on metabolic or physiological 
markers, while direct cognitive endpoints were underrepresented. Nutritional 
supplements (42%) and personalized diets (31%) were predominant, whereas 
operational rations were rarely tested. Caffeine was consistently associated 
with improvements in vigilance and reaction time but showed limited effects on 
sustained attention. Smart technologies were applied inconsistently, with 
ecological validation reported in only 25% of cases. Superior standardization in 
reporting and field validation are needed to enhance comparability. Integrating 
nutritional countermeasures with wearable analytics emerges as a promising 
approach to sustain behavioral resilience and cognitive readiness under 
operational stress.
SYSTEMATIC REVIEW REGISTRATION: https://doi.org/10.1371/journal.pone.0327649, 
Protocol publication; https://doi.org/10.17605/OSF.IO/EC7MG, OSF registration.",PubMed,cognitive performance stress military
"Conflict of interest statement: The author(s) declared that this work was 
conducted in the absence of any commercial or financial relationships that could 
be construed as a potential conflict of interest.",PubMed,cognitive performance stress military
"Author information:
(1)College of Leadership and Ethics, United States Naval War College, Newport, 
Rhode Island, USA.",PubMed,cognitive performance stress military
"Mindfulness practices have been empirically linked to enhancements in cognitive 
performance, attention, emotion regulation, and resilience, all of which are 
essential capacities for military personnel engaged in sustained high-stress 
environments. However, little research has examined how U.S. Navy (USN) 
warfighters perceive the relevance and applicability of mindfulness practices 
for warfighter readiness. This study analyzes qualitative feedback from USN 
Sailors who participated in educational sessions introducing the science and 
practical application of mindfulness for warfighting readiness. Data were 
collected through a survey. Inductive thematic analysis revealed consistent 
themes related to the participants' perceived benefits of and barriers to 
incorporating mindfulness practices among the fleet as a part of enhancing 
Sailor readiness. Four themes related to the benefits of mindfulness practices 
for readiness emerged, including increasing focus for mission readiness, 
fostering resilience through adaptive readiness, promoting stress management and 
emotion regulation, and improving decision-making under stress. Three themes 
related to perceived barriers and their mitigation emerged, including 
operational demands and competing priorities, skepticism and lack of 
understanding, and institutional support and leadership integration. Findings 
suggest that mindfulness practices are viewed by USN warfighters as a 
meaningful, feasible, and relevant tool for strengthening cognitive fitness and 
psychological readiness for sustained combat.",PubMed,cognitive performance stress military
"The keys to success: personality traits and mental strategies are associated 
with success indicators in special forces selection.",PubMed,cognitive performance stress military
"Author information:
(1)Kommando Spezialkräfte, Abteilung Psychologischer Dienst, Calw, Germany.
(2)Charité - Universitätsmedizin Berlin, corporate member of Freie Universität 
Berlin and Humboldt-Universität zu Berlin, Berlin, Germany.
(3)University of the Bundeswehr Munich, Department of Psychology, 
Munich, Germany.
(4)Bundeswehrkrankenhaus Berlin, Psychotraumazentrum der Bundeswehr, 
Berlin, Germany.
(5)Department of Psychiatry, Psychotherapy and Psychotraumatology, 
Bundeswehrkrankenhaus Berlin, Berlin, Germany.",PubMed,cognitive performance stress military
"INTRODUCTION: The selection process for the German Armed Forces Special Forces 
places extreme physical and psychological demands on candidates. The aim of this 
study was to examine associations between psychological traits and indicators of 
success in the multi-stage potential assessment procedure (PFV) and to explore 
individual resources and mental strategies reported by applicants under high 
stress. Specifically, we examined whether (H1) conscientiousness and cognitive 
performance are associated with PFV performance, (H2) successful applicants 
report self-regulation strategies (e.g., goal setting, self-talk, mental 
visualization, arousal control) and psychological protective factors (e.g., 
perseverance/grit, optimism, value-based meaning orientation) more frequently, 
and (H3) resilience is associated with marksmanship performance during training.
METHODOLOGY: A sequential explanatory mixed-methods design was applied. In the 
quantitative part, a secondary analysis of psychological PFV data (N = 
confidential) was carried out. Associations between personality traits and 
success indicators (internal PFV ranking; external shooting performance) were 
examined using Spearman rank correlations. In the qualitative part, guided 
interviews with applicants (N = confidential) were analyzed using qualitative 
content analysis following a deductive-inductive approach.
RESULTS: In line with H1, conscientiousness (r = -.74, p <.05) and cognitive 
performance (r = -.72, p <.05) showed significant associations with better PFV 
performance. In line with H3, resilience was significantly associated with 
better shooting performance during training (r = .70, p <.05). The qualitative 
analysis revealed recurring self-regulation strategies and psychological 
protective factors that were descriptively reported more frequently by 
successful participants.
CONCLUSION: The findings indicate that specific personality traits and 
self-regulation-related resources are associated with performance-related 
indicators within the PFV context. The integration of quantitative and 
qualitative results provides exploratory insights relevant for psychological 
assessment and mental preparation in a high-performance military setting. Given 
the study design, conclusions regarding prediction or causality are not 
warranted; future longitudinal studies with larger samples are needed to examine 
robustness, generalizability, and temporal stability of the observed 
associations.",PubMed,cognitive performance stress military
"Conflict of interest statement: The author(s) declared that this work was 
conducted in the absence of any commercial or financial relationships that could 
be construed as a potential conflict of interest. The reviewer PM declared a 
past co-authorship with author UW to the handling editor.",PubMed,cognitive performance stress military
"Prevalence of Neurological and Mental Health Illness in U.S. Naval Aviators: A 
Retrospective Cohort Study.",PubMed,cognitive performance stress military
"INTRODUCTION: Recent media and public attention have linked the naval tactical 
aircraft accelerative environment to potential neurological and mental health 
issues, but epidemiological research on tactical aviators is limited. This study 
reports the current prevalence of selected neurological and mental health 
disorders among naval tactical aviators and nontactical aviators.
METHODS: A retrospective cohort-designed study was performed on 10,661 
active-duty naval aviators identified within the Naval Fleet Training Management 
and Planning System. Their unique identification codes were associated with all 
available military electronic health records within the Military Health System 
Data Repository for certain neurological and mental health International 
Classification of Diseases codes from October 2000 through December 2024.
RESULTS: In total 8593 active-duty naval aviators met inclusion criteria. 
Compared to tactical aviators, helicopter aviators had higher odds of behavioral 
health disorders overall [odds ratio (OR) 1.29, 95% confidence limits (CL) 
1.10-1.52], adjustment disorders (OR 1.35, 95% CL 1.09-1.68), and posttraumatic 
stress disorder (OR 1.82, 95% CL 1.02-3.25). Reconnaissance aviators had higher 
odds of behavioral health disorders overall (OR 1.37, 95% CL 1.17-1.60), 
adjustment disorders (OR 1.5, 95% CL 1.22-1.85), posttraumatic stress disorder 
(OR 1.84, 95% CL 1.05-3.22), and anxiety (OR 1.33, 95% CL 1.05-1.70) compared to 
tactical aviators. No significant differences were observed between these 
cohorts for selected neurological conditions.
DISCUSSION: Accelerative exposures in tactical naval aviation differ and are 
generally far lower than those seen in sports involving repetitive head impacts. 
Advances in medical imaging and neuro-biomarkers allow aeromedical researchers 
to examine this population for potential subclinical neurological changes. Rice 
GM, Linnville S, Luse TM, Erpenbach JD, Larocco SA. Prevalence of neurological 
and mental health illness in U.S. naval aviators: a retrospective cohort study. 
Aerosp Med Hum Perform. 2026; 97(4):264-271.",PubMed,cognitive performance stress military
"Barassi A(1)(2), Brizzolari A(1)(3), Rubino F(1), Caretti A(1), Nenna F(4), Egi 
M(5), Caldirola D(6), Alciati A(7), Perna G(7), Daccò S(6), Moltani LA(8), 
Cialoni D(9).",PubMed,cognitive performance stress military
"Author information:
(1)Department of Health Sciences, Università Degli Studi of Milan, Milan, Italy.
(2)ASST Santi Paolo e Carlo, Milan, Italy.
(3)Apnea Academy Research, Padua, Italy.
(4)Department of General Psychology, University of Padua, Padua, Italy.
(5)Computer Engineering Department, Galatasaray University, Istanbul, Turkey.
(6)Department of Biomedical Sciences, Humanitas University, Como, Italy.
(7)Humanitas, Clinical and Research Center, IRCCS, Milan, Italy.
(8)Comftech Srl, Monza, Italy.
(9)Department of Human Sciences and Promotion of the Quality of Life, San 
Raffaele University of Rome, Rome, Italy.",PubMed,cognitive performance stress military
"This case study investigated the psychophysiological stress responses of a diver 
during and after a 24-h hyperbaric exposure. Comprehensive biomarker analysis 
revealed relevant changes in oxidative stress parameters and cardiac muscle 
markers. Notably, a critical time point at 6 h (T2) emerged, characterized by 
peak oxidative stress and diminished antioxidant capacity, followed by 
progressive cardiac strain as evidenced by elevated creatine kinase isoenzime 
(CK-MBm) and N-terminal prohormone of brain natriuretic peptide (NT-proBNP) 
levels. Despite these physiological challenges, no pathological tissue damage 
was detected, indicating effective endogenous defense mechanisms. Moreover, no 
significant psychophysiological symptoms were detected before, during, and after 
the dive, except for tiredness and insomnia. Cognitive assessments reflected 
adaptive shifts in response strategies under prolonged stress, emphasizing the 
importance of monitoring to prevent operational risks. These findings highlight 
the need to consider dive duration carefully, suggesting that introducing rest 
intervals or personnel rotation around the critical T2 threshold may mitigate 
physiological fatigue and optimize performance. This study provides valuable 
insights into human adaptation to extended hyperbaric conditions and informs 
safety protocols for commercial and military diving operations.",PubMed,cognitive performance stress military
"© 2026 The Author(s). Physiological Reports published by Wiley Periodicals LLC 
on behalf of The Physiological Society and the American Physiological Society.",PubMed,cognitive performance stress military
"Conflict of interest statement: No conflict of interest, financial, or otherwise 
is declared by the authors.",PubMed,cognitive performance stress military
"12. J Int Soc Sports Nutr. 2026 Dec 31;23(1):2646627. doi: 
10.1080/15502783.2026.2646627. Epub 2026 Mar 23.",PubMed,cognitive performance stress military
"The emerging and evolving evidence supporting creatine as an ergogenic aid: 
history and applications.",PubMed,cognitive performance stress military
"Kerksick C(1), Gonzalez D(2)(3), Stout J(4), Forbes S(5), Candow D(6), 
Ziegenfuss T(7), Marshall R(8)(9), Schwesig R(9), Kreider R(2).",PubMed,cognitive performance stress military
"Author information:
(1)Exercise and Performance Nutrition Laboratory, Lindenwood University, St. 
Charles, MO, USA.
(2)Exercise & Sport Nutrition Lab, Department of Kinesiology and Sports 
Management, Texas A&M University, College Station, TX, USA.
(3)Occupational, Performance, and Nutrition Lab, Department of Kinesiology, Sam 
Houston State University, Huntsville, TX, USA.
(4)School of Kinesiology and Rehabilitation Sciences, University of Central 
Florida, Orlando, FL, USA.
(5)Department of Physical Education Studies, Brandon University, Brandon, MB, 
Canada.
(6)Faculty of Kinesiology and Health Studies, University of Regina, Regina, SK, 
Canada.
(7)The Center for Applied Health Sciences, Canfield, OH, USA.
(8)AFC Bournemouth, Department of Performance and Medicine, Bournemouth, United 
Kingdom.
(9)Department of Orthopedic and Trauma Surgery, Martin-Luther-University 
Halle-Wittenberg, University Medicine, Halle, Germany.",PubMed,cognitive performance stress military
